feature,top10_mean_abs_corr,max_abs_corr_other_feat,cluster_size_thr_0.8,cluster_size_thr_0.5,industry_score
Feature_1079,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1078,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1077,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1076,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1044,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1043,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1042,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1041,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1040,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1039,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1038,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_1037,1.0004764318466184,1.0004764318466186,23,34,0.7842858591079711
Feature_979,0.9986632227897644,0.9986632227897644,23,34,0.7831979336738587
Feature_945,0.9983954191207886,0.9983954191207886,23,34,0.7830372514724732
Feature_293,0.996874165534973,0.9968741655349731,23,34,0.7821244993209838
Feature_926,0.9957187008857726,0.9972970306873321,23,34,0.7814312205314636
Feature_944,0.9941037487983703,0.9983954548835754,23,34,0.7804622492790222
Feature_946,0.9924389493465423,0.9983954548835754,23,34,0.7794633696079254
Feature_969,0.9751956760883331,0.9751956760883331,23,32,0.7691174056529999
Feature_943,0.9701693654060364,0.9701693654060364,23,32,0.7661016192436219
Feature_973,0.933072543144226,0.933072543144226,22,32,0.7358435258865357
Feature_756,0.8715199172496796,0.9396508455276489,26,121,0.7309119503498078
Feature_758,0.8838782292604448,0.9470538079738617,25,138,0.7303269375562669
Feature_757,0.8838003492355346,0.9452024757862091,25,142,0.7302802095413208
Feature_968,0.8976060354709625,0.8976444125175476,23,32,0.7225636212825776
Feature_939,0.8913006246089935,0.8913006246089935,22,32,0.7107803747653961
Feature_743,0.8923889732360839,0.9454766929149627,20,149,0.6954333839416503
Feature_739,0.8615719521045685,0.913688462972641,22,131,0.6929431712627411
Feature_3,0.9793771773576735,0.9968504726886749,13,15,0.6916263064146041
Feature_2,0.9782025617361068,0.9981000542640686,13,15,0.690921537041664
Feature_45,0.9779024004936216,0.9968504726886749,13,15,0.6907414402961729
Feature_44,0.9776816052198409,0.9981000542640686,13,15,0.6906089631319046
Feature_4,0.9775493705272675,0.9942895531654358,13,15,0.6905296223163605
Feature_755,0.8703364396095277,0.944845175743103,21,134,0.6902018637657166
Feature_1,0.9766260170936585,0.9984682440757752,13,15,0.689975610256195
