,mean_card_per_moon,median_card_per_moon,cv_card_across_moons,frac_integer,frac_0_or_1,top1_value_freq,entropy_nats,s_lowcard,s_stable,s_integer,s_peaky,s_lowent,industry_score
Feature_1,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_2,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_3,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_4,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_5,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_6,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_7,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_8,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_9,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
Feature_10,7.0,7.0,0.0,0.06540823720880505,1.0,0.26984164696658314,1.7367948720530486,0.9747474747474747,1.0,0.06540823720880505,0.26984164696658314,0.7105341879911586,3.1526381902921794
