n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,mean_spearman,std_spearman,fold_scores,elapsed_s
1500,9,0.07,0.8,0.5,1.0,1.0,0.08256295174492975,0.026436745744059745,"[0.132041859635238, 0.07507578160916224, 0.08411827059788984, 0.06524450473661919, 0.05633434214573953]",541.5092842578888
1500,8,0.04,0.8,0.5,1.0,1.0,0.08237629971044041,0.021049055065940972,"[0.11625352049667585, 0.07014659834503158, 0.09206757033359647, 0.07961235518730793, 0.053801454189590266]",439.7184534072876
1500,9,0.05,0.8,0.5,1.0,1.0,0.0819240868148853,0.02640362701384062,"[0.12949256755020117, 0.06427812664595893, 0.08804633010240846, 0.07449705679730007, 0.05330635297855782]",531.509527683258
1000,9,0.07,0.8,0.5,1.0,1.0,0.0816939170095433,0.02500253978643817,"[0.12733908315840028, 0.07225045878635367, 0.08812268729526175, 0.06159665968531816, 0.05916069612238265]",360.3623342514038
1000,9,0.04,0.8,0.5,1.0,1.0,0.08094615866217506,0.024058625548857134,"[0.1269370918952447, 0.06689721126684052, 0.08066680636217029, 0.07144766255061724, 0.05878202123600254]",352.348477602005
1500,9,0.04,0.8,0.5,1.0,1.0,0.08002941200887906,0.026601416173981002,"[0.13019147211109489, 0.0665418748102367, 0.08287109326518018, 0.06533048135115889, 0.05521213850672462]",525.1508810520172
700,9,0.07,0.8,0.5,1.0,1.0,0.07884614434831372,0.023301969046441,"[0.1233468075400384, 0.06822879324854991, 0.07997281541913952, 0.05937229648771203, 0.0633100090461287]",256.248587846756
700,9,0.04,0.8,0.5,1.0,1.0,0.07864876857700795,0.022736554492869283,"[0.12123148289580689, 0.06686994420369032, 0.08143776117356533, 0.0673617251958177, 0.05634292941615942]",252.00134134292603
1500,8,0.07,0.8,0.5,1.0,1.0,0.07835817450000071,0.024794528599020784,"[0.12574958199163175, 0.07746334987483736, 0.06558844911252557, 0.06839694406666073, 0.05459254745434818]",448.8183205127716
1500,8,0.05,0.8,0.5,1.0,1.0,0.07817885680083515,0.02551622962324914,"[0.12401104562670397, 0.06784974145204545, 0.08559521148832333, 0.06272200622840383, 0.050716279208699165]",442.8661034107208
1500,7,0.07,0.8,0.5,1.0,1.0,0.07757426380590549,0.02652621122529663,"[0.12768449508590946, 0.06489721124713282, 0.07511283522345852, 0.0707861965675744, 0.04939058090545224]",386.81637048721313
1000,9,0.05,0.8,0.5,1.0,1.0,0.07591358939061757,0.02289323700789718,"[0.11639874549854684, 0.06038236510044301, 0.08249445420813122, 0.07013881908826047, 0.05015356305770634]",355.03290367126465
1000,8,0.07,0.8,0.5,1.0,1.0,0.07587820430038657,0.025052388917941936,"[0.12331758783740103, 0.07714936283140916, 0.06222129860813148, 0.06487481364049894, 0.051827958584492156]",302.70399594306946
700,8,0.07,0.8,0.5,1.0,1.0,0.07586424930104671,0.023690357918483385,"[0.12195113210859322, 0.07113580289468067, 0.06460247239055784, 0.06714340893790856, 0.05448843017349325]",217.1187937259674
1000,8,0.05,0.8,0.5,1.0,1.0,0.07527745122040334,0.021050573294928474,"[0.11457637154618523, 0.061698555814656525, 0.07950365179341223, 0.06351312789436342, 0.057095549053399294]",299.5541121959686
1000,8,0.04,0.8,0.5,1.0,1.0,0.07449528879172033,0.019678048307608643,"[0.10487272075540106, 0.06177233323140584, 0.0857053087011096, 0.07249730448612333, 0.04762877678456183]",298.40446496009827
1000,7,0.07,0.8,0.5,1.0,1.0,0.07445796904891114,0.023265059464905265,"[0.11651320720327021, 0.06428247658223318, 0.0752945250194058, 0.0703115591559565, 0.04588807728369002]",264.8269052505493
1500,7,0.05,0.8,0.5,1.0,1.0,0.07413948252234064,0.017395565409269863,"[0.10735329512205721, 0.06813483315149037, 0.07425835509040693, 0.06091728875083777, 0.06003364049691093]",383.2022223472595
700,9,0.05,0.8,0.5,1.0,1.0,0.07383714929315202,0.024186640067525703,"[0.11836601826699916, 0.060585324521458074, 0.07235364582415471, 0.07159953449989, 0.0462812233532581]",252.8801143169403
1000,7,0.05,0.8,0.5,1.0,1.0,0.07319473421816713,0.017560671903062125,"[0.1033506167846998, 0.061897200380764676, 0.08291541352504547, 0.05990582909792503, 0.05790461130240069]",262.3368113040924
1500,7,0.04,0.8,0.5,1.0,1.0,0.07304089884179384,0.02020229638318378,"[0.10752446630906422, 0.06362868801303156, 0.07947702215862645, 0.06789784752927545, 0.046676470198971504]",381.264436006546
700,7,0.05,0.8,0.5,1.0,1.0,0.07108410993183015,0.019784245201942142,"[0.10437111339133413, 0.058187275930851615, 0.08333113953636753, 0.054495557612188085, 0.055035463188409364]",191.49339818954468
700,7,0.07,0.8,0.5,1.0,1.0,0.07062235786422359,0.019372607901920393,"[0.10594583040055867, 0.06577965577465336, 0.07052510059581545, 0.06390709269391212, 0.046954109856178324]",192.19893264770508
700,8,0.04,0.8,0.5,1.0,1.0,0.07031047698579211,0.015767254379513967,"[0.09427941081010557, 0.05717213932100488, 0.07355135797937952, 0.07717436617085778, 0.04937511064761285]",215.0607349872589
700,8,0.05,0.8,0.5,1.0,1.0,0.07014554012054577,0.021836377056412233,"[0.107071120199836, 0.05926203033310763, 0.08042447378539726, 0.06025919742776019, 0.04371087885662783]",216.0468487739563
1000,7,0.04,0.8,0.5,1.0,1.0,0.0691561095561993,0.019373740390469567,"[0.09778594591679715, 0.060190302686979974, 0.0799520825302219, 0.06800085438131201, 0.03985136226568547]",261.54723143577576
700,7,0.05,0.9,0.6,1.0,1.0,0.06580775686921522,0.017980306684934704,"[0.09215804175676216, 0.06310616124853108, 0.07341007385536163, 0.06376004977885534, 0.036604457706565924]",192.8522825241089
700,7,0.04,0.8,0.5,1.0,1.0,0.06454574013832025,0.019547094599951298,"[0.0881700574574863, 0.05412576422707599, 0.07782850827353845, 0.07023027103858392, 0.03237409969491659]",192.81406784057617
700,7,0.05,0.8,0.5,1.0,0.5,0.06374634699295344,0.012636095011027876,"[0.08446055687675859, 0.06530662784625048, 0.06383148604016314, 0.06021041028807973, 0.044922653913515256]",189.99839234352112
